,date,segment,topic,cluster
76,2012-01-25,qa_pair16,Fed lending to IMF discussion.,6
77,2012-01-25,qa_pair17,PCE vs CPI inflation.,4
78,2012-01-25,qa_pair18,Fiscal policy impact on economy,0
79,2012-04-25,opening_remark,Monetary policy decisions,1
80,2012-04-25,qa_pair1,Monetary policy easing,1
81,2012-04-25,qa_pair2,Inflation and forecasts,4
82,2012-04-25,qa_pair3,Monetary policy stance/timing,1
83,2012-04-25,qa_pair4,FOMC rate projections.,6
84,2012-04-25,qa_pair5,"Monetary policy, inflation, unemployment.",4
85,2012-04-25,qa_pair6,Monetary Policy and Fiscal Cliff,1
86,2012-04-25,qa_pair7,Fiscal policy headwinds.,5
87,2012-04-25,qa_pair8,Inflation and employment goals.,4
88,2012-04-25,qa_pair9,European debt crisis,0
89,2012-04-25,qa_pair10,Monetary policy forecasts,1
90,2012-04-25,qa_pair11,"""Eliminating Too Big to Fail""",5
91,2012-04-25,qa_pair12,Monetary policy communication.,1
92,2012-04-25,qa_pair13,Monetary policy accommodation,1
93,2012-04-25,qa_pair14,Ending Too Big to Fail.,6
94,2012-04-25,qa_pair15,Monetary policy and bond yields.,1
95,2012-04-25,qa_pair16,Monetary policy differences: US & Japan,4
96,2012-04-25,qa_pair17,Labor force participation,3
97,2012-04-25,qa_pair18,Job growth outlook.,3
98,2012-04-25,qa_pair19,Slow labor market recovery,5
99,2012-06-20,opening_remark,Monetary policy outlook.,1
100,2012-06-20,qa_pair1,Federal Reserve policy decisions.,1
101,2012-06-20,qa_pair2,Monetary policy outlook.,1
102,2012-06-20,qa_pair3,Monetary policy efficacy,1
103,2012-06-20,qa_pair4,Monetary policy/partisan influence,1
104,2012-06-20,qa_pair5,Monetary policy/interest rates,1
105,2012-06-20,qa_pair6,Monetary policy & unemployment,4
106,2012-06-20,qa_pair7,Monetary policy decision.,1
107,2012-06-20,qa_pair8,European debt crisis.,0
108,2012-06-20,qa_pair9,Fiscal Cliff Impact,0
109,2012-06-20,qa_pair10,Fiscal cliff discussion.,0
110,2012-06-20,qa_pair11,Impact of Fed policy on employment,3
111,2012-06-20,qa_pair12,Global economic slow-down.,5
112,2012-06-20,qa_pair13,Duration of Treasury debt.,0
113,2012-06-20,qa_pair14,Labor market improvement.,3
114,2012-06-20,qa_pair15,Fiscal cliff importance.,0
115,2012-06-20,qa_pair16,Volcker Rule discussion,6
116,2012-06-20,qa_pair17,European economic instability,5
117,2012-06-20,qa_pair18,Lending & Credit Programs,0
118,2012-06-20,qa_pair19,Unconventional monetary policy.,5
119,2012-06-20,qa_pair20,Monetary policy in times of low interest rates.,2
120,2012-06-20,qa_pair21,Monetary policy & lending.,1
121,2012-06-20,qa_pair22,European debt purchase.,0
122,2012-06-20,qa_pair23,Monetary policy debate.,1
123,2012-09-13,opening_remark,Monetary policy actions.,1
124,2012-09-13,qa_pair1,Monetary policy and unemployment.,4
125,2012-09-13,qa_pair2,Monetary policy accommodations.,1
126,2012-09-13,qa_pair3,Fed's view on inflation,4
127,2012-09-13,qa_pair4,Monetary policy effectiveness.,1
128,2012-09-13,qa_pair5,Monetary policy transmission mechanism,1
129,2012-09-13,qa_pair6,Monetary policy communication tools,1
130,2012-09-13,qa_pair7,Monetary policy transmission mechanism,1
131,2012-09-13,qa_pair8,Monetary policy and labor market.,1
132,2012-09-13,qa_pair9,Monetary policy and labor market improvement.,1
133,2012-09-13,qa_pair10,Monetary policy & mortgages,1
134,2012-09-13,qa_pair11,Monetary policy conditionality,1
135,2012-09-13,qa_pair12,Monetary Policy Effects.,1
136,2012-09-13,qa_pair13,Impact of Basel III on small banks.,2
137,2012-09-13,qa_pair14,Divided Fed opinions on QE.,5
138,2012-09-13,qa_pair15,Fiscal cliff effects on unemployment,5
139,2012-09-13,qa_pair16,Monetary policy tools effectiveness,1
140,2012-09-13,qa_pair17,Monetary policy credibility,2
141,2012-09-13,qa_pair18,Mortgage rates and housing activity,0
142,2012-09-13,qa_pair19,Fiscal policy uncertainty.,0
143,2012-09-13,qa_pair20,Fiscal uncertainty headwinds,5
144,2012-09-13,qa_pair21,Labor market weakness,5
145,2012-12-12,opening_remark,Monetary policy and unemployment.,4
146,2012-12-12,qa_pair1,Monetary policy targets and guidance.,1
147,2012-12-12,qa_pair2,Fiscal cliff effect on economy.,0
148,2012-12-12,qa_pair3,Monetary policy and labor market.,1
149,2012-12-12,qa_pair4,Fiscal cliff discussion,0
150,2012-12-12,qa_pair5,Monetary policy exit strategy.,1
151,2012-12-12,qa_pair6,Fiscal and monetary policy.,1
152,2012-12-12,qa_pair7,Topic: Adjusting monetary policy.,1
153,2012-12-12,qa_pair8,Topic: Economic effects of fiscal cliff,0
154,2012-12-12,qa_pair9,Monetary policy and inflation,4
155,2012-12-12,qa_pair10,Topic of discussion: Unconventional Monetary Policy,5
156,2012-12-12,qa_pair11,Fiscal cliff resolution,0
157,2012-12-12,qa_pair12,Monetary policy accuracy evaluation,1
158,2012-12-12,qa_pair13,Monetary policy/unemployment mandate,1
159,2012-12-12,qa_pair14,Monetary policy communication,1
160,2012-12-12,qa_pair15,Monetary policy responses.,1
161,2012-12-12,qa_pair16,Discussion of Volcker Rule.,6
162,2012-12-12,qa_pair17,Monetary policy decisions.,1
163,2012-12-12,qa_pair18,Unemployment rate debate.,5
164,2012-12-12,qa_pair19,Fiscal cliff negotiations impact on markets.,0
165,2012-12-12,qa_pair20,Monetary policy and global perceptions,1
166,2012-12-12,qa_pair21,MBS purchases' impact on mortgage rates.,0
167,2013-03-20,opening_remark,Monetary policy/interest rates,1
168,2013-03-20,qa_pair1,Monetary policy and QE exit criteria,1
169,2013-03-20,qa_pair2,Monetary policy and employment outlook,1
170,2013-03-20,qa_pair3,Monetary policy adjustments,1
171,2013-03-20,qa_pair4,Financial implications of Cyprus crisis,0
172,2013-03-20,qa_pair5,Governance of central banks,0
173,2013-03-20,qa_pair6,Monetary policy and unemployment.,4
174,2013-03-20,qa_pair7,Monetary policy effectiveness.,1
175,2013-03-20,qa_pair8,"Addressing ""Too Big to Fail""",6
176,2013-03-20,qa_pair9,Monetary policy transmission and housing.,1
177,2013-03-20,qa_pair10,Stock market analysis.,0
178,2013-03-20,qa_pair11,Fiscal policy impact on growth,3
179,2013-03-20,qa_pair12,Monetary policy: labor market and economic growth.,4
180,2013-03-20,qa_pair13,Monetary policy and inflation targets,4
181,2013-03-20,qa_pair14,Too Big to Fail discussion.,6
182,2013-03-20,qa_pair15,Financial crisis in Cyprus,5
183,2013-03-20,qa_pair16,Monetary policy: spring slump,4
184,2013-03-20,qa_pair17,Contagious runs/deposits causing instability.,5
185,2013-03-20,qa_pair18,Labor Force Participation,3
186,2013-03-20,qa_pair19,Monetary policy and asset bubbles,1
187,2013-03-20,qa_pair20,Exit strategy uncertainty.,5
188,2013-06-19,opening_remark,FOMC monetary policy/projections,1
189,2013-06-19,qa_pair1,FOMC labor market policy,3
190,2013-06-19,qa_pair2,Monetary policy outlook and optimism.,2
191,2013-06-19,qa_pair3,Monetary policy and interest rates,1
192,2013-06-19,qa_pair4,Monetary policy & interest rates,1
193,2013-06-19,qa_pair5,Monetary policy discussion,1
194,2013-06-19,qa_pair6,Main topic: Unemployment and rate rises,4
195,2013-06-19,qa_pair7,Monetary policy and unemployment,4
196,2013-06-19,qa_pair8,Monetary policy communication.,1
197,2013-06-19,qa_pair9,Dodd-Frank rulemakings.,6
198,2013-06-19,qa_pair10,Monetary policy/Chairman Bernanke,1
199,2013-06-19,qa_pair11,FOMC policy expectations.,6
200,2013-06-19,qa_pair12,Mortgage Backed Securities,0
201,2013-06-19,qa_pair13,Tapering plans for June,6
202,2013-06-19,qa_pair14,Monetary policy and inflation.,4
203,2013-06-19,qa_pair15,Monetary policy & commodity prices,1
204,2013-06-19,qa_pair16,Money market fund reform,0
205,2013-06-19,qa_pair17,Bank of Japan policy,0
206,2013-06-19,qa_pair18,Communicating policy changes.,6
207,2013-09-18,opening_remark,Monetary policy decision rationale.,1
208,2013-09-18,qa_pair1,Labor market progress,3
209,2013-09-18,qa_pair2,Monetary policy guidance / communication,1
210,2013-09-18,qa_pair3,Monetary policy changes.,1
211,2013-09-18,qa_pair4,Monetary policy discussion.,1
212,2013-09-18,qa_pair5,Fiscal policy and asset purchases.,0
213,2013-09-18,qa_pair6,Monetary policy communication.,1
214,2013-09-18,qa_pair7,Interest rates outlook.,1
215,2013-09-18,qa_pair8,Monetary Policy Decisions,1
216,2013-09-18,qa_pair9,Monetary policy/inflation guidance,4
217,2013-09-18,qa_pair10,Discussion topic: Fiscal policy decisions,0
218,2013-09-18,qa_pair11,Financial crisis prevention.,0
219,2013-09-18,qa_pair12,Monetary policy effectiveness,1
220,2013-09-18,qa_pair13,Regulating SIFIs.,6
221,2013-09-18,qa_pair14,Financial System Stability,2
222,2013-09-18,qa_pair15,Main topic: Interest rate policy,1
223,2013-09-18,qa_pair16,Monetary policy discussion.,1
224,2013-09-18,qa_pair17,Jobless Rate Guidance,5
225,2013-09-18,qa_pair18,Monetary policy guidance.,1
226,2013-09-18,qa_pair19,"Poverty, inequality, and Fed policy.",5
227,2013-09-18,qa_pair20,Global economic effects of monetary policy.,1
228,2013-12-18,opening_remark,Monetary policy guidance,1
229,2013-12-18,qa_pair1,Monetary policy framework,1
230,2013-12-18,qa_pair2,Monetary policy data dependency.,1
231,2013-12-18,qa_pair3,Monetary policy transition.,1
232,2013-12-18,qa_pair4,Monetary policy and inflation.,4
233,2013-12-18,qa_pair5,Monetary Policy Impotency,5
234,2013-12-18,qa_pair6,Monetary policy and tapering.,1
235,2013-12-18,qa_pair7,Monetary policy tools/tools usage,1
236,2013-12-18,qa_pair8,Bond Purchases.,0
237,2013-12-18,qa_pair9,Monetary policy history.,1
238,2013-12-18,qa_pair10,Monetary accommodation/policy,1
239,2013-12-18,qa_pair11,Monetary policy and inflation,4
240,2013-12-18,qa_pair12,Monetary policy accommodation,1
241,2013-12-18,qa_pair13,Slow economic recovery.,5
242,2013-12-18,qa_pair14,Fiscal policy agreement,0
243,2013-12-18,qa_pair15,Financial regulatory reform.,0
244,2013-12-18,qa_pair16,Fed Centennial Review,6
245,2013-12-18,qa_pair17,Post-Chairmanship Role in SC,6
246,2013-12-18,qa_pair18,Economic investment slowdown,5
247,2013-12-18,qa_pair19,Asset purchases evaluation,6
248,2013-12-18,qa_pair20,Asset purchases impact,6
249,2013-12-18,qa_pair21,Discussion of Unemployment Benefits Impact,3
250,2013-12-18,qa_pair22,Monetary policy and oversight.,1
251,2013-12-18,qa_pair23,Structural unemployment/education,5
252,2014-03-19,opening_remark,Monetary Policy Guidance,1
253,2014-03-19,qa_pair1,Federal funds rate guidance change,6
254,2014-03-19,qa_pair2,FOMC rate projections,6
255,2014-03-19,qa_pair3,Main topic: Lower long run Fed Funds rate,5
256,2014-03-19,qa_pair4,Fed's analysis of weather effects.,6
257,2014-03-19,qa_pair5,Monetary policy/FOMC management,1
258,2014-03-19,qa_pair6,Discusion Topic: Balanced approach to conflicting objectives,6
259,2014-03-19,qa_pair7,Monetary policy: rate hikes & asset purchases,1
260,2014-03-19,qa_pair8,Monetary policy taper conditions.,5
261,2014-03-19,qa_pair9,Labor market indicators.,3
262,2014-03-19,qa_pair10,Slow economic recovery.,5
263,2014-03-19,qa_pair11,Monetary policy communication clarity,2
264,2014-03-19,qa_pair12,Low interest rates and housing.,5
265,2014-03-19,qa_pair13,Monetary policy goals.,1
266,2014-03-19,qa_pair14,Ukraine crisis risks to US.,5
267,2014-03-19,qa_pair15,unemployment impacts people,5
268,2014-06-18,opening_remark,Monetary policy decision-making,1
269,2014-06-18,qa_pair1,Federal Reserve inflation tolerance,2
270,2014-06-18,qa_pair2,Monetary policy projection change.,1
271,2014-06-18,qa_pair3,Unemployment rate outlook,5
272,2014-06-18,qa_pair4,Monetary policy uncertainty,1
273,2014-06-18,qa_pair5,Slower economic growth,5
274,2014-06-18,qa_pair6,Tightened credit regulations,5
275,2014-06-18,qa_pair7,Monetary policy and growth,1
276,2014-06-18,qa_pair8,Monetary policy normalization,1
277,2014-06-18,qa_pair9,Short-term wholesale funding.,2
278,2014-06-18,qa_pair10,Monetary policy objectives tradeoffs,1
279,2014-06-18,qa_pair11,Monetary policy communication.,1
280,2014-06-18,qa_pair12,Financial stability risks,2
281,2014-06-18,qa_pair13,Equity market valuations,0
282,2014-06-18,qa_pair14,Main discussion: Wage growth/compensation growth,3
283,2014-06-18,qa_pair15,Monetary policy timing.,1
284,2014-06-18,qa_pair16,Exit fee for bond funds,0
285,2014-09-17,opening_remark,Monetary policy normalization,1
286,2014-09-17,qa_pair1,Debate about forward guidance,6
287,2014-09-17,qa_pair2,Discussion Topic: Data Dependence Principle,6
288,2014-09-17,qa_pair3,"Slack labor market, wages, PCE",5
289,2014-09-17,qa_pair4,Monetary policy projections.,1
290,2014-09-17,qa_pair5,Monetary policy normalization,1
291,2014-09-17,qa_pair6,Labor force participation,3
292,2014-09-17,qa_pair7,Dissenting opinion on policy.,5
293,2014-09-17,qa_pair8,Global economic risks,5
294,2014-09-17,qa_pair9,Monetary policy flexibility,2
295,2014-09-17,qa_pair10,Slow economic recovery.,5
296,2014-09-17,qa_pair11,Scottish independence vote,6
297,2014-09-17,qa_pair12,Gradual vs aggressive tightening,6
298,2014-12-17,opening_remark,Monetary policy and labor market.,1
299,2014-12-17,qa_pair1,Monetary policy liftoff timing,1
300,2014-12-17,qa_pair2,Monetary policy normalization.,1
301,2014-12-17,qa_pair3,Global Economic Outlook,3
302,2014-12-17,qa_pair4,Topic of Discussion: Market Expectations and Fed Communication,3
303,2014-12-17,qa_pair5,Oil price effects on rates.,4
304,2014-12-17,qa_pair6,Monetary policy and inflation.,4
305,2014-12-17,qa_pair7,Monetary policy normalization,1
306,2014-12-17,qa_pair8,Topic: Unemployment and Inflation,4
307,2014-12-17,qa_pair9,Main topic: Firming and Normalization,6
308,2014-12-17,qa_pair10,Conflicts of Interest at the New York Fed,5
309,2014-12-17,qa_pair11,Topic: Fed independence and accountability,6
310,2014-12-17,qa_pair12,Global economic developments in Russia,3
311,2014-12-17,qa_pair13,Oil Prices and Leverage,4
312,2014-12-17,qa_pair14,Monetary policy and balance sheets,1
313,2014-12-17,qa_pair15,Housing Market Conditions,3
314,2015-03-18,opening_remark,Monetary policy and forward guidance,1
315,2015-03-18,qa_pair1,International & trade impact on US economy.,3
316,2015-03-18,qa_pair2,Monetary policy and inflation.,4
317,2015-03-18,qa_pair3,Fed Interest Rates Discussion,1
318,2015-03-18,qa_pair4,Monetary policy risk considerations.,1
319,2015-03-18,qa_pair5,Data-dependent monetary policy.,1
320,2015-03-18,qa_pair6,Inflation Expectations Measurement,4
321,2015-03-18,qa_pair7,Bubbles in Financial Markets,0
322,2015-03-18,qa_pair8,Monetary Policy transparency,2
323,2015-03-18,qa_pair9,Global monetary policy effect.,1
324,2015-03-18,qa_pair10,Monetary Policy Lag Effects,5
325,2015-03-18,qa_pair11,Main Topic: Security of FOMC Statement,6
326,2015-03-18,qa_pair12,Compensation and Banks' Culture,0
327,2015-03-18,qa_pair13,Federal Reserve transparency/accountability,2
328,2015-03-18,qa_pair14,Monetary policy normalization,1
329,2015-03-18,qa_pair15,Fed policy and productivity,3
330,2015-03-18,qa_pair16,Fed and Congress relations,6
331,2015-06-17,opening_remark,Monetary policy decision-making,1
332,2015-06-17,qa_pair1,Monetary policy timing.,1
333,2015-06-17,qa_pair2,Labor Market Improvement,3
334,2015-06-17,qa_pair3,Monetary policy transparency.,2
335,2015-06-17,qa_pair4,Monetary policy normalization,1
336,2015-06-17,qa_pair5,Monetary policy and rate increase,4
337,2015-06-17,qa_pair6,Fed rate increases volatility.,5
338,2015-06-17,qa_pair7,Labor market assessment,3
339,2015-06-17,qa_pair8,Labor market and wages.,3
340,2015-06-17,qa_pair9,Housing market affordability,2
341,2015-06-17,qa_pair10,European political integration crisis.,6
342,2015-06-17,qa_pair11,Consumer spending behavior.,3
343,2015-06-17,qa_pair12,Monetary assistance for AIG,2
344,2015-06-17,qa_pair13,Rising interest rates' benefits.,3
345,2015-06-17,qa_pair14,Monetary policy rates increase.,4
346,2015-06-17,qa_pair15,Monetary policy liftoff rate.,1
347,2015-06-17,qa_pair16,Monetary policy and dollar exchange rate.,1
348,2015-06-17,qa_pair17,Community Reinvestment Act.,6
349,2015-09-17,opening_remark,Monetary policy discussion,1
350,2015-09-17,qa_pair1,Uncertain global developments/interest rates,5
351,2015-09-17,qa_pair2,Monetary policy decisions.,1
352,2015-09-17,qa_pair3,Labor market and Fed interest rates.,4
353,2015-09-17,qa_pair4,Inflation expectations.,4
354,2015-09-17,qa_pair5,"Unemployment, inflation, and economic recovery.",4
355,2015-09-17,qa_pair6,Monetary policy thresholds/inflation,4
356,2015-09-17,qa_pair7,Economic outlook and risks,3
357,2015-09-17,qa_pair8,"Global economic developments, China, oil prices.",0
358,2015-09-17,qa_pair9,Global economic outlook.,3
359,2015-09-17,qa_pair10,Monetary Policy Rates,1
360,2015-09-17,qa_pair11,Discussion of negative interest rates.,5
361,2015-09-17,qa_pair12,Fed rate increase expectation,3
362,2015-09-17,qa_pair13,Monetary policy and exchange rates.,1
363,2015-09-17,qa_pair14,Housing market improvement,3
364,2015-09-17,qa_pair15,Monetary policy and inequality.,4
365,2015-09-17,qa_pair16,Government shutdown impacts.,5
366,2015-09-17,qa_pair17,Delaying rate normalization.,5
367,2015-12-16,opening_remark,Monetary policy and the economy.,1
368,2015-12-16,qa_pair1,Monetary policy decisions.,1
369,2015-12-16,qa_pair2,Monetary Policy Goals and Outlook,1
370,2015-12-16,qa_pair3,Inflation and Monetary Policy,4
371,2015-12-16,qa_pair4,Monetary Policy Inflation,4
372,2015-12-16,qa_pair5,Monetary policy transmission.,1
373,2015-12-16,qa_pair6,Monetary policy measures discussed,1
374,2015-12-16,qa_pair7,Monetary balance sheet policy.,1
375,2015-12-16,qa_pair8,Junk bond market risks,5
376,2015-12-16,qa_pair9,Monetary policy tightening.,4
377,2015-12-16,qa_pair10,Monetary policy implications,1
378,2015-12-16,qa_pair11,Interest rate risk at banks,0
379,2015-12-16,qa_pair12,Inflation and Fed policy.,4
380,2015-12-16,qa_pair13,Monetary policy risks (upside/downside),1
381,2015-12-16,qa_pair14,Monetary policy data dependence.,1
382,2015-12-16,qa_pair15,Inflation models and forecasting,4
383,2015-12-16,qa_pair16,U.S./emerging markets impact,6
384,2015-12-16,qa_pair17,Wage growth and labor market.,3
385,2016-03-16,opening_remark,Monetary policy adjustment discussed,1
386,2016-03-16,qa_pair1,Monetary policy normalization process.,1
387,2016-03-16,qa_pair2,Inflation target discussion.,4
388,2016-03-16,qa_pair3,Monetary policy and inflation,4
389,2016-03-16,qa_pair4,Global economic slow-down,5
390,2016-03-16,qa_pair5,Monetary Policy Meeting Apr.,1
391,2016-03-16,qa_pair6,Oil Prices & Inflation,4
392,2016-03-16,qa_pair7,Monetary policy risk assessment.,1
393,2016-03-16,qa_pair8,Labor market wage growth,3
394,2016-03-16,qa_pair9,Economic inequality/Fed influence,5
395,2016-03-16,qa_pair10,Labor market slack,5
396,2016-03-16,qa_pair11,Supreme Court nominations,6
397,2016-03-16,qa_pair12,Public attitudes on banking reform,0
398,2016-03-16,qa_pair13,Phillips Curve relationship to inflation.,4
399,2016-03-16,qa_pair14,Monetary Policy & Stimulus,1
400,2016-06-15,opening_remark,Monetary policy discussion.,1
401,2016-06-15,qa_pair1,Brexit and economic impact,0
402,2016-06-15,qa_pair2,Monetary policy outlook and rates.,1
403,2016-06-15,qa_pair3,Monetary policy and labor market,1
404,2016-06-15,qa_pair4,Monetary policy and labor market.,1
405,2016-06-15,qa_pair5,Low long-term bond yields,5
406,2016-06-15,qa_pair6,"Labor market, indicator analysis",3
407,2016-06-15,qa_pair7,Political/monetary policy influence.,1
408,2016-06-15,qa_pair8,Monetary policy/inflation,4
409,2016-06-15,qa_pair9,Monetary policy discussion.,1
410,2016-06-15,qa_pair10,Wage growth/employment,3
411,2016-06-15,qa_pair11,Monetary and Fiscal Policy Coordination,1
412,2016-06-15,qa_pair12,Monetary policy and economic growth,3
413,2016-06-15,qa_pair13,Monetary policy constraints on US interest rates.,1
414,2016-06-15,qa_pair14,Oil Prices and Inflation,4
415,2016-09-21,opening_remark,Monetary policy rate decision,1
416,2016-09-21,qa_pair1,Monetary policy: Labor Market Slack,5
417,2016-09-21,qa_pair2,Monetary policy timing.,1
418,2016-09-21,qa_pair3,Fed rate hike expectations.,4
419,2016-09-21,qa_pair4,Monetary independent policy.,2
420,2016-09-21,qa_pair5,Monetary policy & global reach for yield,1
421,2016-09-21,qa_pair6,Topic: Moneta ry and Fiscal policy.,0
422,2016-09-21,qa_pair7,Brexit and Fed policy disagreement.,0
423,2016-09-21,qa_pair8,Monetary policy debate,1
424,2016-09-21,qa_pair9,Asset valuation bubbles,3
425,2016-09-21,qa_pair10,Regulation & Wells Fargo Investigation,6
426,2016-09-21,qa_pair11,Tariff discussion/impact.,6
427,2016-09-21,qa_pair12,Regulatory expectations for banks.,0
428,2016-09-21,qa_pair13,Slow economic growth and low inflation.,2
429,2016-09-21,qa_pair14,Topic: Banker conflict of interest,0
430,2016-09-21,qa_pair15,Monetary policy and inflation,4
431,2016-09-21,qa_pair16,Job training programs.,3
432,2016-09-21,qa_pair17,wage growth discussion.,3
433,2016-12-14,opening_remark,Monetary policy decisions,1
434,2016-12-14,qa_pair1,Changing rate paths due to economic/fiscal changes.,4
435,2016-12-14,qa_pair2,Productivity and fiscal policies,3
436,2016-12-14,qa_pair3,Monetary policy and confidence in economy,2
437,2016-12-14,qa_pair4,Monetary policy and unemployment.,4
438,2016-12-14,qa_pair5,Fiscal stimulus debate.,0
439,2016-12-14,qa_pair6,Running a high-pressure economy,3
440,2016-12-14,qa_pair7,Political interference on Fed.,6
441,2016-12-14,qa_pair8,Financial Regulation Reform,0
442,2016-12-14,qa_pair9,Financial regulation reforms.,0
443,2016-12-14,qa_pair10,Monetary Policy and Trump's Economic Plan.,0
444,2016-12-14,qa_pair11,Labor market/maximum employment.,3
445,2016-12-14,qa_pair12,Fed Chair Yellen's Term,6
446,2016-12-14,qa_pair13,Equity Prices and Optimism,2
447,2016-12-14,qa_pair14,Culture and Compliance Risk,6
448,2016-12-14,qa_pair15,Economic Hysteresis Policy,0
449,2016-12-14,qa_pair16,Manufacturing job assistance/training,3
450,2016-12-14,qa_pair17,Fed Balance Sheet normalization,6
451,2017-03-15,opening_remark,Monetary policy raise,4
452,2017-03-15,qa_pair1,Monetary policy balance sheet normalization.,1
453,2017-03-15,qa_pair2,Monetary policy rate increases.,4
454,2017-03-15,qa_pair3,Future policy response discussion,6
455,2017-03-15,qa_pair4,Fiscal/Monetary policy relationship,1
456,2017-03-15,qa_pair5,Monetary policy and low neutral rate.,2
457,2017-03-15,qa_pair6,Monetary policy adjustments discussion,1
458,2017-03-15,qa_pair7,Financial Conditions Outlook,0
459,2017-03-15,qa_pair8,Global economic outlook,3
460,2017-03-15,qa_pair9,Economic sentiment shift,5
461,2017-03-15,qa_pair10,Potential economic policy conflict.,5
462,2017-03-15,qa_pair11,monetary policy decision-making,1
