,date,segment,emotion_roberta,emotion_gpt
21,2011-04-27,qa_pair21,"{'joy': 1, 'gratitude': 2}","Counter({'Pessimism': 1, 'Neutral': 1})"
22,2011-06-22,opening_remark,"{'neutral': 4, 'gratitude': 1}",Counter({'Neutral': 4})
23,2011-06-22,qa_pair1,{'remorse': 1},Counter({'Neutral': 1})
24,2011-06-22,qa_pair2,{'neutral': 2},Counter({'Pessimism': 1})
25,2011-06-22,qa_pair3,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 2})
26,2011-06-22,qa_pair4,{'neutral': 1},Counter({'Uncertain': 1})
27,2011-06-22,qa_pair5,"{'neutral': 1, 'disapproval': 1}",Counter({'Neutral': 1})
28,2011-06-22,qa_pair6,{'neutral': 2},"Counter({'Uncertain': 1, 'Optimism': 1})"
29,2011-06-22,qa_pair7,{'neutral': 2},Counter({'Concerned': 2})
30,2011-06-22,qa_pair8,"{'curiosity': 1, 'neutral': 2}","Counter({'Pessimism': 1, 'Concerned': 1})"
31,2011-06-22,qa_pair9,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Neutral': 1})"
32,2011-06-22,qa_pair10,{'neutral': 2},Counter({'Uncertain': 1})
33,2011-06-22,qa_pair11,{'curiosity': 1},Counter({'Optimism': 1})
34,2011-06-22,qa_pair12,{'neutral': 2},"Counter({'Uncertain': 1, 'Concerned': 1})"
35,2011-06-22,qa_pair13,"{'neutral': 1, 'caring': 1}",Counter({'Uncertain': 1})
36,2011-06-22,qa_pair14,{'neutral': 2},Counter({'Uncertain': 1})
37,2011-06-22,qa_pair15,"{'curiosity': 1, 'realization': 1}",Counter({'Pessimism': 1})
38,2011-06-22,qa_pair16,{'neutral': 1},Counter({'Uncertain': 1})
39,2011-06-22,qa_pair17,"{'neutral': 2, 'gratitude': 1}","Counter({'Concerned': 1, 'Pessimism': 1})"
40,2011-11-02,opening_remark,"{'neutral': 4, 'gratitude': 1}","Counter({'Neutral': 3, 'Optimism': 1})"
41,2011-11-02,qa_pair1,{'neutral': 2},Counter({'Concerned': 1})
42,2011-11-02,qa_pair2,{'neutral': 1},Counter({'Neutral': 1})
43,2011-11-02,qa_pair3,{'neutral': 2},Counter({'Concerned': 2})
44,2011-11-02,qa_pair4,{'neutral': 1},Counter({'Uncertain': 1})
45,2011-11-02,qa_pair5,{'approval': 1},Counter({'Neutral': 1})
46,2011-11-02,qa_pair6,{'curiosity': 1},Counter({'Neutral': 1})
47,2011-11-02,qa_pair7,{'neutral': 2},"Counter({'Concerned': 1, 'Neutral': 1})"
48,2011-11-02,qa_pair8,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
49,2011-11-02,qa_pair9,"{'curiosity': 1, 'neutral': 2}","Counter({'Pessimism': 1, 'Concerned': 1})"
50,2011-11-02,qa_pair10,{'neutral': 1},Counter({'Uncertain': 1})
51,2011-11-02,qa_pair11,{'neutral': 1},Counter({'Uncertain': 1})
52,2011-11-02,qa_pair12,{'neutral': 2},Counter({'Concerned': 1})
53,2011-11-02,qa_pair13,"{'neutral': 1, 'optimism': 1}",Counter({'Pessimism': 1})
54,2011-11-02,qa_pair14,"{'curiosity': 1, 'optimism': 1}",Counter({'Pessimism': 2})
55,2011-11-02,qa_pair15,"{'curiosity': 1, 'neutral': 1}",Counter({'Neutral': 1})
56,2011-11-02,qa_pair16,{'neutral': 2},Counter({'Pessimism': 1})
57,2011-11-02,qa_pair17,"{'neutral': 1, 'approval': 1}",Counter({'Neutral': 1})
58,2011-11-02,qa_pair18,{'neutral': 2},Counter({'Optimism': 1})
59,2011-11-02,qa_pair19,{'neutral': 1},Counter({'Neutral': 1})
60,2012-01-25,opening_remark,"{'neutral': 7, 'gratitude': 1}","Counter({'Neutral': 3, 'Optimism': 3})"
61,2012-01-25,qa_pair1,"{'gratitude': 1, 'neutral': 1}",Counter({'Neutral': 1})
62,2012-01-25,qa_pair2,"{'confusion': 1, 'approval': 1}",Counter({'Uncertain': 1})
63,2012-01-25,qa_pair3,"{'curiosity': 1, 'neutral': 1}",Counter({'Neutral': 2})
64,2012-01-25,qa_pair4,"{'curiosity': 1, 'neutral': 1, 'optimism': 1}",Counter({'Uncertain': 2})
65,2012-01-25,qa_pair5,{'neutral': 2},Counter({'Neutral': 1})
66,2012-01-25,qa_pair6,"{'curiosity': 1, 'neutral': 1}","Counter({'Pessimism': 1, 'Neutral': 1})"
67,2012-01-25,qa_pair7,{'neutral': 2},Counter({'Concerned': 2})
68,2012-01-25,qa_pair8,{'neutral': 2},"Counter({'Concerned': 1, 'Neutral': 1})"
69,2012-01-25,qa_pair9,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Neutral': 1})"
70,2012-01-25,qa_pair10,{'neutral': 2},"Counter({'Optimism': 1, 'Uncertain': 1})"
71,2012-01-25,qa_pair11,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
72,2012-01-25,qa_pair12,{'neutral': 2},"Counter({'Critical': 1, 'Neutral': 1})"
73,2012-01-25,qa_pair13,"{'curiosity': 1, 'neutral': 1, 'disapproval': 1}",Counter({'Neutral': 2})
74,2012-01-25,qa_pair14,"{'curiosity': 1, 'neutral': 1}",Counter({'Uncertain': 2})
75,2012-01-25,qa_pair15,{'neutral': 2},Counter({'Concerned': 1})
76,2012-01-25,qa_pair16,{'neutral': 1},Counter({'Concerned': 1})
77,2012-01-25,qa_pair17,{'neutral': 3},"Counter({'Neutral': 1, 'Uncertain': 1, 'Pessimism': 1})"
78,2012-01-25,qa_pair18,"{'curiosity': 1, 'gratitude': 1}","Counter({'Neutral': 1, 'Concerned': 1})"
79,2012-04-25,opening_remark,"{'neutral': 2, 'gratitude': 1}",Counter({'Neutral': 2})
80,2012-04-25,qa_pair1,"{'gratitude': 1, 'neutral': 1}",Counter({'Pessimism': 1})
81,2012-04-25,qa_pair2,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
82,2012-04-25,qa_pair3,"{'curiosity': 1, 'neutral': 1}",Counter({'Uncertain': 1})
83,2012-04-25,qa_pair4,"{'neutral': 1, 'approval': 1}",Counter({'Concerned': 1})
84,2012-04-25,qa_pair5,{'neutral': 2},"Counter({'Pessimism': 1, 'Neutral': 1})"
85,2012-04-25,qa_pair6,{'curiosity': 1},Counter({'Concerned': 1})
86,2012-04-25,qa_pair7,{'neutral': 1},Counter({'Pessimism': 1})
87,2012-04-25,qa_pair8,{'neutral': 2},"Counter({'Concerned': 1, 'Neutral': 1})"
88,2012-04-25,qa_pair9,"{'curiosity': 1, 'neutral': 1}","Counter({'Pessimism': 1, 'Neutral': 1})"
89,2012-04-25,qa_pair10,"{'curiosity': 1, 'neutral': 1}",Counter({'Neutral': 1})
90,2012-04-25,qa_pair11,"{'gratitude': 1, 'neutral': 2}",Counter({'Concerned': 2})
91,2012-04-25,qa_pair12,{'neutral': 2},Counter({'Optimism': 1})
92,2012-04-25,qa_pair13,{'neutral': 2},Counter({'Uncertain': 1})
93,2012-04-25,qa_pair14,{'neutral': 2},Counter({'Concerned': 1})
94,2012-04-25,qa_pair15,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
95,2012-04-25,qa_pair16,"{'curiosity': 1, 'optimism': 1}",Counter({'Concerned': 1})
96,2012-04-25,qa_pair17,"{'neutral': 2, 'approval': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
97,2012-04-25,qa_pair18,{'neutral': 2},Counter({'Uncertain': 2})
98,2012-04-25,qa_pair19,"{'curiosity': 1, 'gratitude': 1}",Counter({'Neutral': 1})
99,2012-06-20,opening_remark,"{'neutral': 2, 'gratitude': 1}",Counter({'Neutral': 3})
100,2012-06-20,qa_pair1,{'neutral': 2},"Counter({'Uncertain': 1, 'Pessimism': 1})"
101,2012-06-20,qa_pair2,{'disappointment': 1},Counter({'Pessimism': 1})
102,2012-06-20,qa_pair3,{'neutral': 1},Counter({'Neutral': 1})
103,2012-06-20,qa_pair4,{'curiosity': 1},Counter({'Pessimism': 1})
104,2012-06-20,qa_pair5,{'gratitude': 1},Counter({'Neutral': 1})
105,2012-06-20,qa_pair6,{'curiosity': 1},Counter({'Uncertain': 1})
106,2012-06-20,qa_pair7,{'neutral': 2},Counter({'Pessimism': 1})
107,2012-06-20,qa_pair8,{'neutral': 1},Counter({'Pessimism': 1})
108,2012-06-20,qa_pair9,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
109,2012-06-20,qa_pair10,{'confusion': 1},Counter({'Concerned': 1})
110,2012-06-20,qa_pair11,"{'neutral': 1, 'disappointment': 1}",Counter({'Concerned': 1})
111,2012-06-20,qa_pair12,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 2})
112,2012-06-20,qa_pair13,{'gratitude': 1},Counter({'Optimism': 1})
113,2012-06-20,qa_pair14,{'neutral': 1},Counter({'Neutral': 1})
114,2012-06-20,qa_pair15,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
115,2012-06-20,qa_pair16,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Pessimism': 1})"
116,2012-06-20,qa_pair17,{'optimism': 2},Counter({'Concerned': 1})
117,2012-06-20,qa_pair18,{'curiosity': 1},Counter({'Concerned': 1})
118,2012-06-20,qa_pair19,"{'curiosity': 1, 'neutral': 1}","Counter({'Neutral': 1, 'Uncertain': 1})"
119,2012-06-20,qa_pair20,{'gratitude': 1},Counter({'Pessimism': 1})
120,2012-06-20,qa_pair21,{'disapproval': 1},Counter({'Neutral': 1})
121,2012-06-20,qa_pair22,{'neutral': 1},Counter({'Concerned': 1})
122,2012-06-20,qa_pair23,{'admiration': 1},Counter({'Neutral': 1})
123,2012-09-13,opening_remark,"{'neutral': 5, 'gratitude': 1}","Counter({'Concerned': 2, 'Optimism': 1, 'Pessimism': 1})"
124,2012-09-13,qa_pair1,{'neutral': 1},Counter({'Neutral': 1})
125,2012-09-13,qa_pair2,{'neutral': 1},Counter({'Uncertain': 1})
126,2012-09-13,qa_pair3,{'neutral': 2},Counter({'Critical': 1})
127,2012-09-13,qa_pair4,"{'neutral': 1, 'disapproval': 1}",Counter({'Uncertain': 1})
128,2012-09-13,qa_pair5,{'neutral': 2},Counter({'Pessimism': 1})
129,2012-09-13,qa_pair6,{'curiosity': 1},Counter({'Concerned': 1})
130,2012-09-13,qa_pair7,{'neutral': 2},Counter({'Concerned': 2})
131,2012-09-13,qa_pair8,{'neutral': 2},Counter({'Uncertain': 1})
132,2012-09-13,qa_pair9,"{'neutral': 1, 'optimism': 1}",Counter({'Uncertain': 1})
133,2012-09-13,qa_pair10,{'neutral': 2},Counter({'Pessimism': 1})
134,2012-09-13,qa_pair11,"{'curiosity': 1, 'optimism': 1}",Counter({'Neutral': 2})
135,2012-09-13,qa_pair12,{'curiosity': 1},Counter({'Uncertain': 1})
136,2012-09-13,qa_pair13,"{'curiosity': 1, 'neutral': 1}","Counter({'Concerned': 1, 'Optimism': 1})"
137,2012-09-13,qa_pair14,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
138,2012-09-13,qa_pair15,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
139,2012-09-13,qa_pair16,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
140,2012-09-13,qa_pair17,{'neutral': 2},"Counter({'Concerned': 1, 'Optimism': 1})"
141,2012-09-13,qa_pair18,{'optimism': 2},"Counter({'Neutral': 1, 'Uncertain': 1})"
142,2012-09-13,qa_pair19,"{'neutral': 1, 'approval': 1}",Counter({'Concerned': 1})
143,2012-09-13,qa_pair20,{'neutral': 2},Counter({'Uncertain': 1})
144,2012-09-13,qa_pair21,"{'approval': 1, 'gratitude': 1}",Counter({'Concerned': 1})
145,2012-12-12,opening_remark,"{'neutral': 6, 'gratitude': 1}","Counter({'Optimism': 3, 'Concerned': 1, 'Pessimism': 1})"
146,2012-12-12,qa_pair1,{'neutral': 2},"Counter({'Concerned': 1, 'Uncertain': 1})"
147,2012-12-12,qa_pair2,"{'approval': 1, 'curiosity': 1, 'confusion': 1}","Counter({'Concerned': 1, 'Optimism': 1})"
148,2012-12-12,qa_pair3,"{'curiosity': 1, 'neutral': 2}","Counter({'Neutral': 1, 'Uncertain': 1})"
149,2012-12-12,qa_pair4,{'curiosity': 2},"Counter({'Uncertain': 1, 'Pessimism': 1})"
150,2012-12-12,qa_pair5,"{'curiosity': 1, 'neutral': 1}","Counter({'Neutral': 1, 'Uncertain': 1})"
151,2012-12-12,qa_pair6,"{'gratitude': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Optimism': 1})"
152,2012-12-12,qa_pair7,{'neutral': 1},Counter({'Uncertain': 1})
153,2012-12-12,qa_pair8,"{'curiosity': 1, 'neutral': 1, 'optimism': 1}","Counter({'Pessimism': 1, 'Concerned': 1})"
154,2012-12-12,qa_pair9,"{'curiosity': 1, 'neutral': 1}",Counter({'Neutral': 2})
155,2012-12-12,qa_pair10,{'neutral': 2},"Counter({'Pessimism': 1, 'Concerned': 1})"
156,2012-12-12,qa_pair11,{'neutral': 2},Counter({'Uncertain': 1})
157,2012-12-12,qa_pair12,"{'curiosity': 1, 'neutral': 1}",Counter({'Neutral': 2})
158,2012-12-12,qa_pair13,"{'curiosity': 1, 'neutral': 1}",Counter({'Uncertain': 2})
159,2012-12-12,qa_pair14,{'neutral': 3},"Counter({'Neutral': 1, 'Optimism': 1})"
160,2012-12-12,qa_pair15,"{'approval': 1, 'neutral': 1}",Counter({'Pessimism': 1})
161,2012-12-12,qa_pair16,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
162,2012-12-12,qa_pair17,{'neutral': 1},Counter({'Uncertain': 1})
163,2012-12-12,qa_pair18,"{'curiosity': 1, 'approval': 1, 'neutral': 1}","Counter({'Neutral': 1, 'Uncertain': 1})"
164,2012-12-12,qa_pair19,{'optimism': 2},Counter({'Concerned': 1})
165,2012-12-12,qa_pair20,{'neutral': 2},Counter({'Concerned': 2})
166,2012-12-12,qa_pair21,"{'curiosity': 1, 'disappointment': 1}",Counter({'Concerned': 2})
167,2013-03-20,opening_remark,"{'neutral': 4, 'gratitude': 1}","Counter({'Neutral': 2, 'Optimism': 1, 'Concerned': 1})"
168,2013-03-20,qa_pair1,{'neutral': 2},"Counter({'Concerned': 1, 'Neutral': 1})"
169,2013-03-20,qa_pair2,{'neutral': 2},Counter({'Neutral': 1})
170,2013-03-20,qa_pair3,"{'curiosity': 1, 'neutral': 1}",Counter({'Uncertain': 2})
171,2013-03-20,qa_pair4,"{'curiosity': 1, 'optimism': 1, 'approval': 1}","Counter({'Concerned': 1, 'Uncertain': 1})"
172,2013-03-20,qa_pair5,{'neutral': 2},Counter({'Neutral': 1})
173,2013-03-20,qa_pair6,"{'curiosity': 1, 'confusion': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
174,2013-03-20,qa_pair7,{'approval': 1},Counter({'Uncertain': 1})
175,2013-03-20,qa_pair8,{'neutral': 2},"Counter({'Neutral': 1, 'Uncertain': 1})"
176,2013-03-20,qa_pair9,"{'gratitude': 1, 'neutral': 1}",Counter({'Concerned': 1})
177,2013-03-20,qa_pair10,"{'curiosity': 1, 'neutral': 1}",Counter({'Optimism': 1})
178,2013-03-20,qa_pair11,"{'curiosity': 1, 'approval': 1}",Counter({'Concerned': 1})
179,2013-03-20,qa_pair12,"{'curiosity': 1, 'neutral': 2}",Counter({'Concerned': 2})
180,2013-03-20,qa_pair13,"{'confusion': 1, 'neutral': 2}","Counter({'Uncertain': 1, 'Concerned': 1})"
181,2013-03-20,qa_pair14,"{'curiosity': 1, 'confusion': 1}",Counter({'Uncertain': 1})
182,2013-03-20,qa_pair15,{'curiosity': 1},Counter({'Neutral': 1})
183,2013-03-20,qa_pair16,{'curiosity': 1},Counter({'Concerned': 1})
184,2013-03-20,qa_pair17,{'curiosity': 1},Counter({'Concerned': 1})
185,2013-03-20,qa_pair18,"{'neutral': 1, 'confusion': 1}",Counter({'Uncertain': 2})
186,2013-03-20,qa_pair19,"{'neutral': 1, 'approval': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
187,2013-03-20,qa_pair20,"{'curiosity': 1, 'gratitude': 1}",Counter({'Uncertain': 1})
188,2013-06-19,opening_remark,"{'neutral': 5, 'gratitude': 2}","Counter({'Optimism': 3, 'Neutral': 2})"
189,2013-06-19,qa_pair1,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
190,2013-06-19,qa_pair2,"{'neutral': 1, 'optimism': 1}",Counter({'Optimism': 2})
191,2013-06-19,qa_pair3,"{'curiosity': 1, 'approval': 1}",Counter({'Concerned': 1})
192,2013-06-19,qa_pair4,{'curiosity': 1},Counter({'Concerned': 1})
193,2013-06-19,qa_pair5,{'curiosity': 1},Counter({'Neutral': 1})
194,2013-06-19,qa_pair6,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Concerned': 1})"
195,2013-06-19,qa_pair7,{'neutral': 4},"Counter({'Uncertain': 1, 'Concerned': 1, 'Optimism': 1})"
196,2013-06-19,qa_pair8,"{'approval': 1, 'optimism': 1}",Counter({'Concerned': 1})
197,2013-06-19,qa_pair9,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Optimism': 1})"
198,2013-06-19,qa_pair10,{'neutral': 1},Counter({'Uncertain': 1})
199,2013-06-19,qa_pair11,{'neutral': 2},Counter({'Pessimism': 1})
200,2013-06-19,qa_pair12,"{'curiosity': 2, 'neutral': 1}","Counter({'Concerned': 1, 'Neutral': 1, 'Uncertain': 1})"
201,2013-06-19,qa_pair13,"{'gratitude': 1, 'neutral': 1}",Counter({'Uncertain': 2})
202,2013-06-19,qa_pair14,{'disapproval': 2},Counter({'Pessimism': 2})
203,2013-06-19,qa_pair15,"{'curiosity': 1, 'neutral': 2}","Counter({'Uncertain': 1, 'Pessimism': 1})"
204,2013-06-19,qa_pair16,{'optimism': 1},Counter({'Optimism': 1})
205,2013-06-19,qa_pair17,"{'curiosity': 1, 'approval': 2}","Counter({'Uncertain': 1, 'Pessimism': 1})"
206,2013-06-19,qa_pair18,{'curiosity': 1},Counter({'Uncertain': 1})
207,2013-09-18,opening_remark,"{'neutral': 7, 'gratitude': 1}","Counter({'Neutral': 2, 'Optimism': 2, 'Pessimism': 2})"
208,2013-09-18,qa_pair1,"{'curiosity': 1, 'approval': 1}","Counter({'Neutral': 1, 'Pessimism': 1})"
209,2013-09-18,qa_pair2,{'neutral': 2},"Counter({'Uncertain': 1, 'Neutral': 1})"
210,2013-09-18,qa_pair3,{'neutral': 2},Counter({'Uncertain': 2})
211,2013-09-18,qa_pair4,{'curiosity': 1},Counter({'Neutral': 1})
212,2013-09-18,qa_pair5,{'neutral': 1},Counter({'Concerned': 1})
213,2013-09-18,qa_pair6,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
214,2013-09-18,qa_pair7,{'neutral': 2},Counter({'Neutral': 2})
215,2013-09-18,qa_pair8,{'neutral': 3},Counter({'Uncertain': 2})
216,2013-09-18,qa_pair9,{'neutral': 2},"Counter({'Uncertain': 1, 'Neutral': 1})"
217,2013-09-18,qa_pair10,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
218,2013-09-18,qa_pair11,"{'approval': 1, 'neutral': 2}","Counter({'Concerned': 1, 'Pessimism': 1})"
219,2013-09-18,qa_pair12,"{'neutral': 2, 'optimism': 1}","Counter({'Pessimism': 1, 'Neutral': 1})"
220,2013-09-18,qa_pair13,{'neutral': 1},Counter({'Concerned': 1})
221,2013-09-18,qa_pair14,{'neutral': 1},Counter({'Concerned': 1})
222,2013-09-18,qa_pair15,"{'curiosity': 1, 'approval': 1}","Counter({'Neutral': 1, 'Concerned': 1})"
223,2013-09-18,qa_pair16,{'curiosity': 1},Counter({'Concerned': 1})
224,2013-09-18,qa_pair17,{'gratitude': 1},Counter({'Concerned': 1})
225,2013-09-18,qa_pair18,{'neutral': 1},Counter({'Uncertain': 1})
226,2013-09-18,qa_pair19,"{'curiosity': 1, 'neutral': 1}","Counter({'Pessimism': 1, 'Neutral': 1})"
227,2013-09-18,qa_pair20,"{'curiosity': 1, 'gratitude': 1}","Counter({'Neutral': 1, 'Concerned': 1})"
228,2013-12-18,opening_remark,"{'neutral': 5, 'gratitude': 1}","Counter({'Neutral': 2, 'Concerned': 2, 'Optimism': 1})"
229,2013-12-18,qa_pair1,{'curiosity': 1},Counter({'Uncertain': 1})
230,2013-12-18,qa_pair2,"{'curiosity': 1, 'neutral': 2}","Counter({'Uncertain': 1, 'Neutral': 1})"
231,2013-12-18,qa_pair3,{'approval': 1},Counter({'Uncertain': 1})
232,2013-12-18,qa_pair4,{'neutral': 2},"Counter({'Critical': 1, 'Neutral': 1})"
233,2013-12-18,qa_pair5,{'neutral': 2},Counter({'Pessimism': 2})
234,2013-12-18,qa_pair6,{'neutral': 2},"Counter({'Uncertain': 1, 'Concerned': 1})"
235,2013-12-18,qa_pair7,{'neutral': 2},"Counter({'Concerned': 1, 'Uncertain': 1})"
236,2013-12-18,qa_pair8,{'neutral': 1},Counter({'Neutral': 1})
237,2013-12-18,qa_pair9,"{'curiosity': 1, 'neutral': 1}","Counter({'Neutral': 1, 'Uncertain': 1})"
238,2013-12-18,qa_pair10,{'neutral': 2},"Counter({'Neutral': 1, 'Concerned': 1})"
239,2013-12-18,qa_pair11,"{'curiosity': 1, 'optimism': 1}",Counter({'Uncertain': 1})
240,2013-12-18,qa_pair12,{'approval': 1},Counter({'Pessimism': 1})
241,2013-12-18,qa_pair13,"{'confusion': 1, 'disappointment': 1}","Counter({'Uncertain': 1, 'Pessimism': 1})"
242,2013-12-18,qa_pair14,"{'gratitude': 1, 'neutral': 1}",Counter({'Pessimism': 1})
243,2013-12-18,qa_pair15,{'neutral': 2},"Counter({'Concerned': 1, 'Optimism': 1})"
244,2013-12-18,qa_pair16,"{'curiosity': 1, 'optimism': 1, 'approval': 2}","Counter({'Neutral': 1, 'Concerned': 1, 'Pessimism': 1})"
245,2013-12-18,qa_pair17,{'curiosity': 1},Counter({'Neutral': 1})
246,2013-12-18,qa_pair18,"{'approval': 1, 'optimism': 1}",Counter({'Concerned': 1})
247,2013-12-18,qa_pair19,"{'curiosity': 1, 'neutral': 2}","Counter({'Neutral': 1, 'Concerned': 1, 'Uncertain': 1})"
248,2013-12-18,qa_pair20,"{'curiosity': 1, 'approval': 1}","Counter({'Neutral': 1, 'Uncertain': 1})"
249,2013-12-18,qa_pair21,{'neutral': 2},Counter({'Pessimism': 1})
250,2013-12-18,qa_pair22,"{'admiration': 1, 'optimism': 1}","Counter({'Concerned': 1, 'Neutral': 1})"
251,2013-12-18,qa_pair23,"{'neutral': 1, 'gratitude': 1}","Counter({'Concerned': 1, 'Neutral': 1})"
252,2014-03-19,opening_remark,"{'neutral': 5, 'gratitude': 1}","Counter({'Neutral': 3, 'Optimism': 2})"
253,2014-03-19,qa_pair1,"{'curiosity': 1, 'neutral': 2}","Counter({'Concerned': 1, 'Uncertain': 1})"
254,2014-03-19,qa_pair2,{'neutral': 3},"Counter({'Neutral': 1, 'Uncertain': 1})"
255,2014-03-19,qa_pair3,{'neutral': 2},"Counter({'Uncertain': 1, 'Neutral': 1})"
256,2014-03-19,qa_pair4,"{'confusion': 1, 'neutral': 1}",Counter({'Uncertain': 1})
257,2014-03-19,qa_pair5,{'gratitude': 1},Counter({'Neutral': 1})
258,2014-03-19,qa_pair6,"{'curiosity': 1, 'neutral': 1}","Counter({'Uncertain': 1, 'Neutral': 1})"
259,2014-03-19,qa_pair7,"{'confusion': 1, 'neutral': 1}",Counter({'Uncertain': 1})
260,2014-03-19,qa_pair8,{'neutral': 2},"Counter({'Concerned': 1, 'Neutral': 1})"
261,2014-03-19,qa_pair9,{'neutral': 3},Counter({'Neutral': 2})
262,2014-03-19,qa_pair10,{'neutral': 1},Counter({'Pessimism': 1})
263,2014-03-19,qa_pair11,{'curiosity': 1},Counter({'Concerned': 1})
264,2014-03-19,qa_pair12,{'neutral': 2},Counter({'Pessimism': 1})
265,2014-03-19,qa_pair13,{'approval': 1},Counter({'Neutral': 1})
266,2014-03-19,qa_pair14,{'curiosity': 1},Counter({'Concerned': 1})
267,2014-03-19,qa_pair15,{'curiosity': 1},Counter({'Concerned': 1})
268,2014-06-18,opening_remark,"{'neutral': 4, 'gratitude': 1}","Counter({'Optimism': 3, 'Neutral': 1})"
269,2014-06-18,qa_pair1,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 1})
270,2014-06-18,qa_pair2,{'curiosity': 1},Counter({'Uncertain': 1})
271,2014-06-18,qa_pair3,"{'curiosity': 1, 'neutral': 2}","Counter({'Pessimism': 1, 'Neutral': 1})"
272,2014-06-18,qa_pair4,"{'curiosity': 1, 'neutral': 1}",Counter({'Concerned': 2})
273,2014-06-18,qa_pair5,"{'curiosity': 1, 'neutral': 1}",Counter({'Pessimism': 1})
274,2014-06-18,qa_pair6,"{'curiosity': 1, 'approval': 1}","Counter({'Concerned': 1, 'Pessimism': 1})"
275,2014-06-18,qa_pair7,{'curiosity': 1},Counter({'Uncertain': 1})
276,2014-06-18,qa_pair8,"{'neutral': 1, 'optimism': 1}",Counter({'Neutral': 1})
277,2014-06-18,qa_pair9,"{'confusion': 1, 'remorse': 1}",Counter({'Concerned': 1})
278,2014-06-18,qa_pair10,{'neutral': 2},Counter({'Uncertain': 2})
279,2014-06-18,qa_pair11,{'curiosity': 1},Counter({'Uncertain': 1})
280,2014-06-18,qa_pair12,"{'gratitude': 1, 'neutral': 2}","Counter({'Pessimism': 1, 'Uncertain': 1})"
